Airline,Source,Destination,Additional_Info,Price,Stop_No,Duration_Min,D_Month,D_Day,D_Hour,D_Minutes,A_Hour,A_Minutes,A_Month,A_Day
6,2,1,6,12524,1,615,6,3,8,45,19,0,0,0
3,2,1,6,7191,1,630,5,15,15,0,1,30,5,16
10,1,4,6,3687,0,135,5,24,7,5,9,20,0,0
3,2,1,6,5894,1,625,6,24,10,35,21,0,0,0
10,0,2,6,5403,0,170,4,24,9,45,12,35,0,0
1,4,3,6,3625,0,90,5,6,13,55,15,25,0,0
1,2,1,6,10861,2,800,5,21,5,55,19,15,0,0
3,1,4,6,6297,0,135,3,12,13,20,15,35,0,0
4,4,3,6,5678,0,85,6,1,7,5,8,30,0,0
4,0,5,5,9134,1,1590,3,9,5,45,8,15,3,13
6,2,1,5,10791,1,440,6,24,11,40,19,0,0,0
4,2,1,6,12819,2,810,6,24,23,5,12,35,6,25
3,2,1,6,6893,1,300,3,21,5,5,10,5,0,0
10,0,5,6,7240,0,165,3,9,9,50,12,35,0,0
2,0,2,6,3898,0,170,4,3,11,40,14,30,0,0
3,4,3,6,4049,0,90,4,3,6,25,7,55,0,0
4,2,1,5,10262,1,1145,6,15,17,30,12,35,6,16
8,1,4,7,3332,0,135,3,21,8,20,10,35,0,0
4,3,0,5,10844,1,890,6,9,21,10,12,0,6,10
4,0,5,6,7229,0,160,3,24,19,55,22,35,0,0
4,3,0,6,13941,1,1330,5,6,6,30,4,40,5,7
3,2,1,6,5894,1,575,6,27,11,25,21,0,0,0
6,2,1,6,10197,1,600,5,18,9,0,19,0,0,0
4,0,5,5,13712,1,1280,3,6,14,5,11,25,3,7
3,2,1,6,5636,1,325,6,24,2,0,7,25,0,0
4,2,1,6,13014,2,1125,6,6,9,40,4,25,6,7
4,3,0,5,7064,1,740,4,1,8,25,20,45,0,0
4,3,0,5,10703,1,1080,5,24,20,25,14,25,5,25
6,2,1,6,9646,1,555,5,27,13,15,22,30,0,0
6,2,1,6,17057,1,665,3,6,2,15,13,20,0,0
4,0,5,6,13817,1,1050,3,12,16,55,10,25,3,13
1,2,1,6,13748,2,800,3,6,5,55,19,15,0,0
1,3,0,6,4880,0,155,4,21,20,45,23,20,0,0
3,1,4,6,3540,0,145,6,21,5,15,7,40,0,0
8,0,2,7,3257,0,160,5,15,5,55,8,35,0,0
4,0,2,5,6478,0,180,6,3,19,50,22,50,0,0
4,4,3,6,8040,0,85,6,18,7,5,8,30,0,0
4,2,1,6,14300,2,995,6,12,20,0,12,35,6,13
4,3,0,6,14781,1,740,5,15,8,25,20,45,0,0
4,3,0,6,14939,1,735,6,9,20,0,8,15,6,10
4,2,1,5,10262,1,450,6,24,20,55,4,25,6,25
1,3,0,6,6528,1,1440,5,12,14,35,14,35,5,13
1,0,2,6,6121,0,165,5,1,6,10,8,55,0,0
4,2,1,5,13029,2,535,5,18,19,30,4,25,5,19
6,2,1,6,11421,1,430,3,27,11,40,18,50,0,0
6,2,1,6,7574,1,870,3,27,4,45,19,15,0,0
1,2,1,6,11596,2,1820,5,9,12,55,19,15,5,10
4,2,1,6,15129,2,1195,5,24,23,5,19,0,5,25
4,0,5,6,13555,1,900,3,18,14,5,5,5,3,16
3,0,2,6,5780,0,175,4,12,18,55,21,50,0,0
10,3,0,6,9397,1,765,5,12,20,20,9,5,5,13
4,2,1,6,17024,1,610,3,6,18,15,4,25,3,7
2,2,1,6,5281,1,355,6,27,7,0,12,55,0,0
6,2,1,6,10348,1,925,5,18,7,5,22,30,0,0
1,2,1,6,12677,1,965,3,6,17,20,9,25,3,7
6,2,1,6,15147,1,610,3,3,15,25,1,35,3,4
10,0,2,6,4668,0,160,6,12,7,0,9,40,0,0
4,2,1,6,15554,1,715,5,9,7,5,19,0,0,0
8,0,2,6,3971,0,160,4,9,5,55,8,35,0,0
1,4,3,6,3100,0,85,5,3,15,0,16,25,0,0
4,3,0,5,9663,1,845,5,6,20,0,10,5,5,7
1,2,1,6,27430,1,1215,3,1,23,0,19,15,3,2
3,1,4,6,3540,0,145,5,12,5,15,7,40,0,0
1,3,0,6,10676,2,1390,5,21,12,0,11,10,5,22
4,3,0,6,13044,1,1090,6,12,14,5,8,15,6,13
4,3,0,6,14388,1,960,5,6,20,0,12,0,5,7
3,0,2,6,3943,0,170,6,24,4,0,6,50,0,0
3,1,4,6,3597,0,140,6,3,14,45,17,5,0,0
1,0,5,6,5932,1,480,3,21,11,50,19,50,0,0
4,2,1,5,10262,1,1015,6,15,11,30,4,25,6,16
10,2,1,6,6216,0,190,5,12,14,40,17,50,0,0
3,3,0,6,4804,0,165,6,15,20,25,23,10,0,0
6,2,1,6,14067,1,840,5,21,11,30,1,30,5,22
4,2,1,6,15129,2,1430,5,18,19,10,19,0,5,19
4,2,1,6,13376,2,1300,6,6,6,45,4,25,6,7
1,2,1,6,10441,2,1275,6,27,22,0,19,15,6,28
4,0,2,5,4030,0,165,5,24,6,0,8,45,0,0
4,2,1,6,17024,1,650,3,3,8,0,18,50,0,0
6,2,1,6,13017,1,480,4,9,17,30,1,30,4,10
2,3,0,6,6686,1,495,6,6,23,30,7,45,6,7
3,2,1,6,5636,1,325,6,15,2,0,7,25,0,0
3,2,1,6,6442,1,515,6,9,7,35,16,10,0,0
6,2,1,6,9486,1,710,5,21,13,5,0,55,5,22
4,3,0,5,10844,1,1655,5,21,20,0,23,35,5,22
4,2,1,5,15318,2,505,6,3,20,0,4,25,6,4
1,2,1,6,5117,1,1255,4,3,12,30,9,25,4,4
3,2,1,6,6147,1,290,6,24,15,10,20,0,0,0
6,2,1,6,7005,1,490,6,9,12,50,21,0,0,0
8,3,0,6,3873,0,140,4,3,22,20,0,40,4,4
4,2,1,5,9270,2,1465,3,21,18,25,18,50,3,22
2,0,2,6,3898,0,170,6,27,11,40,14,30,0,0
4,3,0,6,14781,1,740,5,12,8,25,20,45,0,0
4,3,0,5,8586,1,735,5,24,20,0,8,15,5,25
1,3,0,6,10697,2,1415,5,9,8,20,7,55,5,10
4,2,1,6,14300,2,995,6,27,20,0,12,35,6,28
3,0,5,6,8855,0,170,3,3,18,55,21,45,0,0
4,3,0,5,10844,1,1545,5,12,16,30,18,15,5,13
4,2,1,6,17024,1,1570,3,6,2,15,4,25,3,7
4,3,0,5,9314,1,1730,5,1,9,35,14,25,5,2
3,0,5,6,4777,0,165,3,24,0,40,3,25,0,0
1,3,0,6,7662,1,1515,6,9,12,0,13,15,6,10
3,2,1,6,6442,1,560,5,9,6,50,16,10,0,0
8,2,1,6,5264,1,270,6,12,8,45,13,15,0,0
4,2,1,5,12898,1,925,5,27,13,0,4,25,5,28
1,4,3,6,6092,0,90,3,3,13,55,15,25,0,0
8,0,2,6,3311,0,160,5,21,5,55,8,35,0,0
4,2,1,5,6540,1,550,3,27,19,15,4,25,3,28
3,0,2,6,3419,0,165,5,27,1,30,4,15,0,0
4,2,1,5,5177,1,1355,4,3,14,0,12,35,4,4
1,2,1,6,8246,0,185,4,18,18,5,21,10,0,0
4,3,0,6,14676,1,690,6,9,9,35,21,5,0,0
6,2,1,6,13587,1,570,6,27,11,30,21,0,0,0
4,3,0,5,9663,1,730,5,6,21,10,9,20,5,7
4,3,0,6,13044,1,1055,6,12,16,30,10,5,6,13
3,2,1,6,5073,1,305,4,3,20,25,1,30,4,4
10,3,0,6,9345,1,1550,5,21,17,0,18,50,5,22
4,3,0,5,9663,1,1200,5,6,14,5,10,5,5,7
6,2,1,6,14277,1,780,5,21,8,0,21,0,0,0
4,2,1,5,10262,1,1105,6,1,10,0,4,25,6,2
4,4,3,6,5678,0,90,3,27,19,35,21,5,0,0
6,2,1,6,13727,1,570,5,15,16,0,1,30,5,16
4,3,0,5,9663,1,960,5,6,20,0,12,0,5,7
3,1,4,6,3858,0,140,5,12,14,45,17,5,0,0
8,2,1,6,4812,1,270,6,24,8,45,13,15,0,0
3,2,1,6,5775,1,345,6,27,21,50,3,35,6,28
4,3,0,5,10539,1,1450,6,6,9,35,9,45,6,7
3,3,0,6,4804,0,155,6,3,15,30,18,5,0,0
0,0,2,6,3383,0,165,6,12,11,10,13,55,0,0
3,0,5,6,8738,1,295,3,3,12,10,17,5,0,0
1,2,1,6,7165,1,1535,3,27,5,15,6,50,3,28
3,2,1,6,6412,1,380,6,24,16,10,22,30,0,0
4,0,2,6,8016,0,185,6,27,18,55,22,0,0,0
4,0,5,5,11087,1,1120,3,12,20,35,15,15,3,13
8,1,4,7,3543,0,135,6,27,9,45,12,0,0,0
4,3,0,6,12471,1,730,6,12,16,30,4,40,6,13
4,2,1,5,10262,1,1165,6,24,9,0,4,25,6,25
1,0,5,6,4441,0,170,3,18,13,20,16,10,0,0
6,2,1,6,12537,1,505,3,27,7,5,15,30,0,0
2,3,0,6,10091,1,555,3,24,22,25,7,40,3,25
1,0,2,6,6961,0,170,6,3,21,5,23,55,0,0
3,2,1,6,5013,0,195,4,24,5,35,8,50,0,0
1,2,1,6,6934,0,170,5,18,5,10,8,0,0,0
6,2,1,6,10877,1,740,6,3,6,40,19,0,0,0
4,0,2,6,7229,0,175,4,18,15,15,18,10,0,0
3,2,1,6,7048,1,575,3,27,16,0,1,35,3,28
10,0,2,6,4878,0,155,6,27,17,0,19,35,0,0
4,3,0,5,10844,1,570,5,21,14,5,23,35,0,0
4,2,1,6,15129,2,1760,5,18,23,5,4,25,5,20
3,0,2,6,3943,0,175,5,12,0,30,3,25,0,0
8,2,1,6,5583,1,315,6,6,6,5,11,20,0,0
6,2,1,6,9646,1,545,6,6,7,5,16,10,0,0
6,2,1,6,7677,1,645,6,3,8,30,19,15,0,0
3,2,1,6,6842,1,295,6,1,5,10,10,5,0,0
4,4,3,5,4995,0,90,6,24,8,45,10,15,0,0
10,3,0,6,9555,1,700,6,9,7,10,18,50,0,0
3,0,2,6,4077,0,165,6,1,1,30,4,15,0,0
4,0,2,6,7229,0,175,5,12,15,15,18,10,0,0
6,2,1,6,12192,1,600,6,9,9,0,19,0,0,0
1,0,2,6,5911,0,165,4,12,10,0,12,45,0,0
1,2,1,6,8372,1,615,6,12,9,0,19,15,0,0
4,4,3,5,4995,0,85,3,18,7,10,8,35,0,0
6,2,1,6,14323,1,555,5,9,10,0,19,15,0,0
4,2,1,6,13014,2,1375,6,9,5,30,4,25,6,10
1,2,1,6,13591,2,1730,6,6,14,25,19,15,6,7
4,2,1,6,18799,2,2245,3,3,5,25,18,50,3,4
3,0,2,6,3943,0,170,4,27,23,30,2,20,4,28
8,4,3,7,1965,0,90,5,21,5,45,7,15,0,0
4,4,3,5,4995,0,90,5,27,10,20,11,50,0,0
1,3,0,6,14641,1,1540,3,24,16,50,18,30,3,25
1,3,0,6,4460,0,155,4,12,20,45,23,20,0,0
1,2,1,6,10191,1,375,5,18,13,0,19,15,0,0
4,2,1,5,13843,1,1050,3,9,2,15,19,45,0,0
3,2,1,6,6349,1,345,5,1,21,50,3,35,5,2
0,3,0,6,4409,0,155,5,1,10,20,12,55,0,0
4,2,1,6,17024,1,1530,3,6,18,15,19,45,3,7
6,2,1,6,13727,1,835,5,18,7,5,21,0,0,0
3,0,5,6,8855,0,175,3,15,18,25,21,20,0,0
6,2,1,6,12524,1,615,6,24,8,45,19,0,0,0
4,0,5,6,13555,1,520,3,18,11,40,20,20,0,0
4,3,0,5,10844,1,330,6,6,6,30,12,0,0,0
6,2,1,6,13587,1,720,6,9,9,0,21,0,0,0
8,1,4,7,3543,0,135,6,12,9,45,12,0,0,0
10,1,4,6,4842,0,135,3,18,7,5,9,20,0,0
3,0,2,6,3943,0,170,4,24,23,30,2,20,4,25
4,2,1,5,10577,1,550,6,9,19,15,4,25,6,10
3,2,1,6,6979,1,625,5,15,10,35,21,0,0,0
10,1,4,6,11982,0,140,6,27,17,45,20,5,0,0
8,2,1,6,5264,1,270,6,6,8,45,13,15,0,0
10,2,1,6,8001,0,190,3,3,6,0,9,10,0,0
1,2,1,6,10651,2,1410,6,1,19,45,19,15,6,2
4,3,0,5,10844,1,1640,5,24,16,30,19,50,5,25
6,2,1,6,6601,1,755,3,27,9,45,22,20,0,0
1,2,1,6,6587,1,1455,3,21,19,0,19,15,3,22
8,4,3,6,3173,0,80,3,21,13,10,14,30,0,0
1,0,2,6,5228,0,165,5,9,10,0,12,45,0,0
4,0,2,5,5769,0,180,6,21,7,10,10,10,0,0
4,2,1,6,14714,1,660,6,6,8,0,19,0,0,0
4,2,1,6,13014,2,810,6,3,5,30,19,0,0,0
3,0,2,6,3359,0,170,6,3,22,10,1,0,6,4
2,0,5,6,6722,0,175,3,3,20,55,23,50,0,0
3,3,0,6,4462,0,165,3,18,9,35,12,20,0,0
3,2,1,6,6171,1,675,3,9,4,55,16,10,0,0
1,3,0,6,12303,2,875,5,21,5,50,20,25,0,0
6,2,1,6,7695,1,835,3,21,11,40,1,35,3,22
3,2,1,6,5684,1,845,6,24,11,25,1,30,6,25
1,3,0,6,8366,1,905,6,12,16,50,7,55,6,13
1,1,4,6,19630,0,135,3,1,11,40,13,55,0,0
4,0,5,5,13502,1,900,3,6,14,5,5,5,3,7
4,3,0,6,14781,1,775,5,1,21,10,10,5,5,2
6,2,1,6,6513,1,540,6,12,7,10,16,10,0,0
1,2,1,6,9929,1,735,6,1,7,0,19,15,0,0
6,2,1,6,18275,2,460,6,6,17,50,1,30,6,7
1,2,1,6,4487,1,1640,4,9,6,5,9,25,4,10
3,4,3,6,2754,0,85,3,15,21,20,22,45,0,0
1,4,3,6,2575,0,80,3,27,6,20,7,40,0,0
8,3,0,6,8224,1,330,6,12,15,55,21,25,0,0
1,2,1,6,8991,1,705,3,9,20,30,8,15,3,10
3,2,1,6,5000,0,195,6,24,5,35,8,50,0,0
4,3,0,5,8529,1,1495,6,12,18,55,19,50,6,13
1,2,1,6,14042,1,1640,3,3,6,5,9,25,3,4
4,0,2,5,4030,0,175,5,24,11,10,14,5,0,0
4,3,0,5,10844,1,1025,6,6,18,55,12,0,6,7
3,3,0,6,4804,0,160,5,6,21,25,0,5,5,7
6,2,1,5,7308,1,480,5,27,17,30,1,30,5,28
3,0,2,6,4823,0,180,5,12,16,55,19,55,0,0
4,2,1,5,10262,1,1655,6,24,9,0,12,35,6,25
4,2,1,5,12898,1,450,5,27,20,55,4,25,5,28
1,0,5,6,12778,2,1375,3,12,17,25,16,20,3,13
3,2,1,6,14871,1,515,3,3,4,45,13,20,0,0
1,2,1,6,8708,2,1795,3,21,13,20,19,15,3,22
4,3,0,5,10844,1,1335,6,6,20,0,18,15,6,7
8,4,3,6,4129,0,80,3,6,5,45,7,5,0,0
3,3,0,6,4804,0,160,5,18,21,25,0,5,5,19
4,0,2,6,7229,0,180,5,6,8,20,11,20,0,0
4,0,5,5,7832,1,730,3,21,7,0,19,10,0,0
8,1,4,6,3859,0,155,3,18,9,30,12,5,0,0
6,2,1,6,9001,1,705,6,6,7,30,19,15,0,0
10,0,2,6,4878,0,155,5,9,17,0,19,35,0,0
3,4,3,6,2754,0,90,5,3,2,35,4,5,0,0
10,0,2,6,4668,0,160,6,27,7,0,9,40,0,0
0,3,0,6,5216,0,155,5,12,10,20,12,55,0,0
4,2,1,5,10368,2,1375,6,6,5,30,4,25,6,7
3,2,1,6,8146,2,880,3,9,6,40,21,20,0,0
4,2,1,6,12242,1,925,3,27,13,0,4,25,3,28
4,0,5,5,9134,1,435,3,15,8,0,15,15,0,0
1,2,1,6,10939,2,1210,6,6,13,15,9,25,6,7
1,2,1,6,11753,2,1245,6,6,10,55,7,40,6,7
8,3,0,6,4174,0,150,4,24,17,10,19,40,0,0
4,3,0,5,10844,1,1430,5,21,20,0,19,50,5,22
4,2,1,6,14714,1,1620,6,3,16,0,19,0,6,4
4,3,0,5,9899,1,330,6,12,6,30,12,0,0,0
3,2,1,6,14871,1,710,3,3,9,10,21,0,0,0
3,1,4,6,7295,0,135,3,6,13,20,15,35,0,0
1,2,1,6,13465,2,1470,6,6,18,45,19,15,6,7
8,1,4,7,3543,0,140,5,21,17,45,20,5,0,0
6,2,1,6,7198,1,390,6,27,19,0,1,30,6,28
4,2,1,5,10262,1,1225,6,1,8,0,4,25,6,2
3,3,0,6,4148,0,155,3,15,15,20,17,55,0,0
4,0,2,6,8016,0,175,6,27,15,15,18,10,0,0
4,2,1,5,10262,1,335,6,9,22,50,4,25,6,10
8,3,0,7,3841,0,150,6,15,14,55,17,25,0,0
4,0,5,6,11507,1,885,3,12,9,45,0,30,3,13
4,3,0,6,14781,1,740,5,1,8,25,20,45,0,0
4,2,1,6,16079,1,1530,5,27,17,30,19,0,5,28
4,2,1,5,12898,1,335,5,27,22,50,4,25,5,28
6,2,1,6,15353,1,705,3,6,7,30,19,15,0,0
3,0,5,6,7303,0,175,3,24,18,25,21,20,0,0
8,3,0,6,6197,1,340,3,24,15,5,20,45,0,0
1,3,0,6,8996,1,245,6,9,9,10,13,15,0,0
3,2,1,6,6528,1,480,3,21,14,20,22,20,0,0
2,0,2,6,4239,0,165,4,9,20,55,23,40,0,0
3,3,0,6,4148,0,160,3,12,20,25,23,5,0,0
8,0,2,6,3971,0,175,5,24,21,10,0,5,5,25
0,3,0,6,5192,1,955,5,6,7,35,23,30,0,0
4,2,1,6,9483,2,1390,4,9,13,25,12,35,4,10
4,2,1,6,18804,2,440,6,3,11,40,19,0,0,0
1,2,1,6,5201,0,170,6,18,5,10,8,0,0,0
4,2,1,6,16079,1,450,5,27,11,30,19,0,0,0
4,0,2,5,7229,0,180,6,15,19,50,22,50,0,0
6,2,1,6,6795,1,465,5,27,17,45,1,30,5,28
4,3,0,6,10953,1,1520,5,9,9,35,10,55,5,10
6,2,1,6,15965,2,625,6,24,15,5,1,30,6,25
1,2,1,6,9968,2,1820,4,9,12,55,19,15,4,10
3,3,0,6,4804,0,155,6,6,22,15,0,50,6,7
4,2,1,6,16079,1,540,5,27,10,0,19,0,0,0
4,2,1,5,11507,2,910,6,12,21,25,12,35,6,13
1,3,0,6,11542,2,1700,6,9,9,25,13,45,6,10
4,0,2,6,7229,0,180,4,24,17,45,20,45,0,0
4,0,2,5,4544,0,165,4,27,6,0,8,45,0,0
3,2,1,6,6496,1,295,5,15,5,10,10,5,0,0
3,3,0,6,4804,0,160,6,15,21,25,0,5,6,16
1,0,5,6,13439,1,1330,3,1,11,5,9,15,3,2
4,2,1,5,6540,1,610,3,27,18,15,4,25,3,28
3,0,2,6,4591,0,170,6,1,23,30,2,20,6,2
3,0,5,6,4437,1,260,3,18,16,15,20,35,0,0
0,2,1,6,6151,1,660,3,21,20,10,7,10,3,22
4,0,2,5,7754,0,180,6,21,17,45,20,45,0,0
4,2,1,5,10262,1,1355,6,24,14,0,12,35,6,25
4,0,2,6,8016,0,185,6,9,18,55,22,0,0,0
8,3,0,7,4781,0,160,3,24,6,55,9,35,0,0
10,0,2,6,4668,0,170,6,27,11,30,14,20,0,0
1,0,5,6,14594,1,1265,3,6,11,50,8,55,3,7
4,3,0,6,14231,1,710,3,24,16,55,4,45,3,25
1,2,1,6,8425,1,1535,5,15,5,15,6,50,5,16
6,2,1,6,9646,1,925,6,12,7,5,22,30,0,0
3,1,4,6,7295,0,145,3,3,14,40,17,5,0,0
0,3,0,6,5162,1,220,4,9,6,50,10,30,0,0
3,0,5,6,6860,0,175,3,9,18,25,21,20,0,0
10,2,1,6,6216,0,190,4,15,6,0,9,10,0,0
0,3,0,6,5192,1,710,5,24,7,35,19,25,0,0
3,0,2,6,4823,0,170,4,9,20,0,22,50,0,0
8,0,2,7,3919,0,170,4,3,9,30,12,20,0,0
3,4,3,6,2754,0,90,6,3,19,5,20,35,0,0
6,2,1,6,9315,1,690,5,9,7,30,19,0,0,0
6,2,1,6,11667,1,530,3,27,10,0,18,50,0,0
4,3,0,5,6224,1,1215,6,12,8,25,4,40,6,13
1,3,0,6,13349,2,1210,3,24,9,25,5,35,3,25
4,0,5,5,11087,1,965,3,18,16,55,9,0,3,16
6,2,1,6,15603,1,755,3,6,13,0,1,35,3,7
4,2,1,6,15129,2,1025,5,9,19,30,12,35,5,10
3,0,2,6,4823,0,180,4,9,16,55,19,55,0,0
10,3,0,6,8452,1,930,5,1,7,10,22,40,0,0
6,2,1,6,12524,1,690,6,6,7,30,19,0,0,0
8,1,4,6,3384,0,140,3,27,17,45,20,5,0,0
4,2,1,5,10262,1,1425,6,1,19,15,19,0,6,2
8,4,3,7,1965,0,90,6,18,13,15,14,45,0,0
3,3,0,6,4804,0,155,5,18,22,15,0,50,5,19
4,2,1,6,16079,1,1485,5,27,18,15,19,0,5,28
4,2,1,6,13292,2,1295,6,1,21,25,19,0,6,2
0,2,1,6,6751,1,330,5,9,7,55,13,25,0,0
1,2,1,6,8669,1,735,5,15,7,0,19,15,0,0
3,2,1,6,14871,1,485,3,3,17,30,1,35,3,4
4,2,1,5,12898,1,300,5,21,14,0,19,0,0,0
8,0,2,7,3919,0,170,6,6,9,30,12,20,0,0
6,2,1,6,36983,1,385,3,1,12,50,19,15,0,0
3,1,4,6,3597,0,140,6,3,19,35,21,55,0,0
1,0,5,6,10741,0,165,3,9,17,0,19,45,0,0
1,3,0,6,11432,2,765,6,6,16,50,5,35,6,7
4,0,5,5,11087,1,950,3,12,18,55,10,45,3,13
4,2,1,6,13292,2,1620,6,3,9,35,12,35,6,4
1,2,1,6,10493,3,1585,6,15,5,15,7,40,6,16
2,0,5,6,7631,0,175,3,9,7,45,10,40,0,0
1,2,1,6,13381,2,1490,6,6,6,50,7,40,6,7
4,3,0,6,13731,1,520,6,6,20,0,4,40,6,7
1,2,1,6,11911,2,1545,5,21,5,55,7,40,5,22
3,0,2,6,4591,0,170,4,18,23,30,2,20,4,19
6,2,1,6,14848,1,375,6,3,13,0,19,15,0,0
6,2,1,6,8266,1,630,6,12,8,45,19,15,0,0
1,2,1,6,12392,2,1560,5,18,17,15,19,15,5,19
4,3,0,6,13044,1,1025,6,12,18,55,12,0,6,13
4,2,1,5,12898,1,1280,5,21,7,5,4,25,5,22
4,2,1,6,12242,1,335,3,21,22,50,4,25,3,22
3,0,2,6,3943,0,170,5,18,10,10,13,0,0,0
10,3,0,6,11105,1,1550,3,24,20,20,22,10,3,25
4,3,0,6,14388,1,730,5,12,21,10,9,20,5,13
4,2,1,6,13014,2,1025,5,18,19,30,12,35,5,19
6,2,1,6,15411,1,510,3,6,10,20,18,50,0,0
4,2,1,6,16289,1,1385,3,9,19,45,18,50,3,10
3,2,1,6,6442,1,560,5,15,6,50,16,10,0,0
4,3,0,5,10844,1,475,5,18,8,25,16,20,0,0
4,4,3,6,5678,0,90,5,18,10,20,11,50,0,0
3,0,2,6,6906,0,170,4,12,23,30,2,20,4,13
8,1,4,7,3543,0,135,5,21,9,45,12,0,0,0
4,2,1,6,14714,1,600,6,6,9,0,19,0,0,0
11,0,5,6,11793,0,155,3,3,16,0,18,35,0,0
6,2,1,6,14323,1,465,5,15,11,30,19,15,0,0
8,0,2,6,3971,0,175,4,9,21,10,0,5,4,10
10,3,0,6,8452,1,1580,5,6,20,20,22,40,5,7
10,0,2,6,5403,0,160,4,12,7,0,9,40,0,0
6,2,1,6,13727,1,660,5,9,10,0,21,0,0,0
1,3,0,6,12639,2,1165,4,1,10,0,5,25,4,2
4,0,2,5,5198,0,175,4,18,15,15,18,10,0,0
10,0,2,6,4878,0,165,6,1,19,30,22,15,0,0
4,2,1,5,12373,1,1395,5,18,19,45,19,0,5,19
6,2,1,5,8552,1,540,3,3,7,10,16,10,0,0
10,2,1,6,6741,0,190,4,21,14,40,17,50,0,0
6,2,1,6,6481,1,385,4,9,12,50,19,15,0,0
6,2,1,6,7354,1,520,6,6,10,35,19,15,0,0
1,0,2,6,5228,0,170,4,21,21,5,23,55,0,0
4,3,0,5,10844,1,740,5,12,8,25,20,45,0,0
3,2,1,6,6347,1,320,5,18,6,50,12,10,0,0
